10.0.0.3 : duplicate for [3], 84 bytes, 63.2 ms
10.0.0.3 : duplicate for [3], 84 bytes, 67.0 ms
10.0.0.3 : duplicate for [3], 84 bytes, 67.6 ms
10.0.0.3 : duplicate for [3], 84 bytes, 67.8 ms
10.0.0.3 : duplicate for [3], 84 bytes, 68.0 ms
10.0.0.3 : duplicate for [3], 84 bytes, 88.8 ms
10.0.0.3 : duplicate for [3], 84 bytes, 89.1 ms
10.0.0.3 : duplicate for [3], 84 bytes, 89.2 ms
10.0.0.3 : duplicate for [3], 84 bytes, 89.4 ms
10.0.0.3 : duplicate for [3], 84 bytes, 93.1 ms
10.0.0.3 : duplicate for [3], 84 bytes, 93.3 ms
10.0.0.3 : duplicate for [3], 84 bytes, 93.4 ms
10.0.0.3 : duplicate for [3], 84 bytes, 97.7 ms
10.0.0.4 : duplicate for [3], 84 bytes, 104 ms
10.0.0.4 : duplicate for [3], 84 bytes, 104 ms
10.0.0.4 : duplicate for [3], 84 bytes, 129 ms
10.0.0.4 : duplicate for [3], 84 bytes, 130 ms
10.0.0.4 : duplicate for [3], 84 bytes, 130 ms
10.0.0.4 : duplicate for [3], 84 bytes, 130 ms
10.0.0.4 : duplicate for [3], 84 bytes, 130 ms
10.0.0.4 : duplicate for [3], 84 bytes, 133 ms
10.0.0.4 : duplicate for [3], 84 bytes, 134 ms
10.0.0.4 : duplicate for [3], 84 bytes, 134 ms
10.0.0.4 : duplicate for [3], 84 bytes, 134 ms
10.0.0.4 : duplicate for [3], 84 bytes, 134 ms
10.0.0.4 : duplicate for [3], 84 bytes, 134 ms
10.0.0.4 : duplicate for [3], 84 bytes, 134 ms
10.0.0.4 : duplicate for [3], 84 bytes, 136 ms
10.0.0.2 : xmt/rcv/%loss = 10/9/10%, min/avg/max = 6.73/15.9/49.4
10.0.0.3 : xmt/rcv/%loss = 10/9/10%, min/avg/max = 8.08/67.3/332
10.0.0.4 : xmt/rcv/%loss = 10/9/10%, min/avg/max = 12.0/85.0/358
10.0.0.1 : xmt/rcv/%loss = 10/10/0%, min/avg/max = 3.81/14.0/42.8
10.0.0.3 : xmt/rcv/%loss = 10/10/0%, min/avg/max = 6.90/15.6/43.0
10.0.0.4 : xmt/rcv/%loss = 10/10/0%, min/avg/max = 6.53/14.5/32.1
10.0.0.1 : xmt/rcv/%loss = 10/10/0%, min/avg/max = 7.09/26.1/55.5
10.0.0.2 : xmt/rcv/%loss = 10/10/0%, min/avg/max = 7.10/21.0/46.1
10.0.0.4 : xmt/rcv/%loss = 10/10/0%, min/avg/max = 3.86/7.98/19.9
10.0.0.1 : xmt/rcv/%loss = 10/10/0%, min/avg/max = 7.09/19.4/49.9
10.0.0.2 : xmt/rcv/%loss = 10/10/0%, min/avg/max = 6.82/16.8/36.7
10.0.0.3 : xmt/rcv/%loss = 10/10/0%, min/avg/max = 3.30/8.65/22.5
* Connection Model: equal
* N Switches: 2
* N Hosts: 4
* N Packets: 10
* Fail time (s): 4
* Execution duration (s): 37.313828468322754
-------------
10.0.0.2 : duplicate for [0], 84 bytes, 51.7 ms
10.0.0.2 : duplicate for [0], 84 bytes, 52.0 ms
10.0.0.2 : duplicate for [0], 84 bytes, 65.6 ms
10.0.0.3 : duplicate for [0], 84 bytes, 233 ms
10.0.0.3 : duplicate for [0], 84 bytes, 233 ms
10.0.0.3 : duplicate for [0], 84 bytes, 233 ms
10.0.0.3 : duplicate for [0], 84 bytes, 259 ms
10.0.0.3 : duplicate for [0], 84 bytes, 260 ms
10.0.0.3 : duplicate for [0], 84 bytes, 260 ms
10.0.0.3 : duplicate for [0], 84 bytes, 260 ms
10.0.0.3 : duplicate for [0], 84 bytes, 260 ms
10.0.0.3 : duplicate for [0], 84 bytes, 271 ms
10.0.0.3 : duplicate for [0], 84 bytes, 271 ms
10.0.0.3 : duplicate for [0], 84 bytes, 271 ms
10.0.0.3 : duplicate for [0], 84 bytes, 271 ms
10.0.0.3 : duplicate for [0], 84 bytes, 272 ms
10.0.0.3 : duplicate for [0], 84 bytes, 290 ms
10.0.0.3 : duplicate for [0], 84 bytes, 291 ms
10.0.0.4 : duplicate for [0], 84 bytes, 278 ms
10.0.0.4 : duplicate for [0], 84 bytes, 278 ms
10.0.0.4 : duplicate for [0], 84 bytes, 279 ms
10.0.0.4 : duplicate for [0], 84 bytes, 279 ms
10.0.0.4 : duplicate for [0], 84 bytes, 280 ms
10.0.0.4 : duplicate for [0], 84 bytes, 280 ms
10.0.0.4 : duplicate for [0], 84 bytes, 280 ms
10.0.0.4 : duplicate for [0], 84 bytes, 291 ms
10.0.0.4 : duplicate for [0], 84 bytes, 291 ms
10.0.0.4 : duplicate for [0], 84 bytes, 291 ms
10.0.0.4 : duplicate for [0], 84 bytes, 293 ms
10.0.0.4 : duplicate for [0], 84 bytes, 293 ms
10.0.0.4 : duplicate for [0], 84 bytes, 293 ms
10.0.0.4 : duplicate for [0], 84 bytes, 293 ms
10.0.0.4 : duplicate for [0], 84 bytes, 296 ms
10.0.0.2 : duplicate for [1], 84 bytes, 15.4 ms
10.0.0.2 : duplicate for [1], 84 bytes, 15.5 ms
10.0.0.2 : duplicate for [1], 84 bytes, 15.8 ms
10.0.0.3 : duplicate for [1], 84 bytes, 70.6 ms
10.0.0.3 : duplicate for [1], 84 bytes, 72.9 ms
10.0.0.3 : duplicate for [1], 84 bytes, 73.2 ms
10.0.0.3 : duplicate for [1], 84 bytes, 73.3 ms
10.0.0.3 : duplicate for [1], 84 bytes, 92.3 ms
10.0.0.3 : duplicate for [1], 84 bytes, 93.1 ms
10.0.0.3 : duplicate for [1], 84 bytes, 93.2 ms
10.0.0.3 : duplicate for [1], 84 bytes, 93.5 ms
10.0.0.3 : duplicate for [1], 84 bytes, 95.8 ms
10.0.0.3 : duplicate for [1], 84 bytes, 95.9 ms
10.0.0.3 : duplicate for [1], 84 bytes, 106 ms
10.0.0.3 : duplicate for [1], 84 bytes, 106 ms
10.0.0.3 : duplicate for [1], 84 bytes, 107 ms
10.0.0.3 : duplicate for [1], 84 bytes, 107 ms
10.0.0.3 : duplicate for [1], 84 bytes, 115 ms
10.0.0.4 : duplicate for [1], 84 bytes, 121 ms
10.0.0.4 : duplicate for [1], 84 bytes, 123 ms
10.0.0.4 : duplicate for [1], 84 bytes, 123 ms
10.0.0.4 : duplicate for [1], 84 bytes, 123 ms
10.0.0.4 : duplicate for [1], 84 bytes, 133 ms
10.0.0.4 : duplicate for [1], 84 bytes, 135 ms
10.0.0.4 : duplicate for [1], 84 bytes, 135 ms
10.0.0.4 : duplicate for [1], 84 bytes, 136 ms
10.0.0.4 : duplicate for [1], 84 bytes, 136 ms
10.0.0.4 : duplicate for [1], 84 bytes, 136 ms
10.0.0.4 : duplicate for [1], 84 bytes, 141 ms
10.0.0.4 : duplicate for [1], 84 bytes, 143 ms
10.0.0.4 : duplicate for [1], 84 bytes, 143 ms
10.0.0.4 : duplicate for [1], 84 bytes, 143 ms
10.0.0.4 : duplicate for [1], 84 bytes, 143 ms
10.0.0.2 : duplicate for [2], 84 bytes, 14.4 ms
10.0.0.2 : duplicate for [2], 84 bytes, 14.6 ms
10.0.0.2 : duplicate for [2], 84 bytes, 15.0 ms
10.0.0.3 : duplicate for [2], 84 bytes, 33.5 ms
10.0.0.3 : duplicate for [2], 84 bytes, 58.0 ms
10.0.0.3 : duplicate for [2], 84 bytes, 64.7 ms
10.0.0.3 : duplicate for [2], 84 bytes, 78.4 ms
10.0.0.3 : duplicate for [2], 84 bytes, 78.6 ms
10.0.0.3 : duplicate for [2], 84 bytes, 92.2 ms
10.0.0.3 : duplicate for [2], 84 bytes, 92.8 ms
10.0.0.3 : duplicate for [2], 84 bytes, 116 ms
10.0.0.3 : duplicate for [2], 84 bytes, 118 ms
10.0.0.3 : duplicate for [2], 84 bytes, 118 ms
10.0.0.3 : duplicate for [2], 84 bytes, 128 ms
10.0.0.4 : duplicate for [2], 84 bytes, 110 ms
10.0.0.3 : duplicate for [2], 84 bytes, 134 ms
10.0.0.4 : duplicate for [2], 84 bytes, 117 ms
10.0.0.3 : duplicate for [2], 84 bytes, 135 ms
10.0.0.4 : duplicate for [2], 84 bytes, 117 ms
10.0.0.4 : duplicate for [2], 84 bytes, 118 ms
10.0.0.4 : duplicate for [2], 84 bytes, 129 ms
10.0.0.4 : duplicate for [2], 84 bytes, 130 ms
10.0.0.3 : duplicate for [2], 84 bytes, 148 ms
10.0.0.4 : duplicate for [2], 84 bytes, 130 ms
10.0.0.4 : duplicate for [2], 84 bytes, 130 ms
10.0.0.4 : duplicate for [2], 84 bytes, 144 ms
10.0.0.4 : duplicate for [2], 84 bytes, 146 ms
10.0.0.3 : duplicate for [2], 84 bytes, 164 ms
10.0.0.4 : duplicate for [2], 84 bytes, 146 ms
10.0.0.4 : duplicate for [2], 84 bytes, 146 ms
10.0.0.4 : duplicate for [2], 84 bytes, 148 ms
10.0.0.4 : duplicate for [2], 84 bytes, 149 ms
10.0.0.4 : duplicate for [2], 84 bytes, 150 ms
10.0.0.2 : duplicate for [3], 84 bytes, 22.9 ms
10.0.0.2 : duplicate for [3], 84 bytes, 35.5 ms
10.0.0.2 : duplicate for [3], 84 bytes, 36.3 ms
10.0.0.3 : duplicate for [3], 84 bytes, 48.5 ms
10.0.0.3 : duplicate for [3], 84 bytes, 75.2 ms
10.0.0.3 : duplicate for [3], 84 bytes, 76.0 ms
10.0.0.3 : duplicate for [3], 84 bytes, 77.0 ms
10.0.0.3 : duplicate for [3], 84 bytes, 104 ms
10.0.0.4 : duplicate for [3], 84 bytes, 91.5 ms
10.0.0.3 : duplicate for [3], 84 bytes, 117 ms
10.0.0.4 : duplicate for [3], 84 bytes, 105 ms
10.0.0.4 : duplicate for [3], 84 bytes, 105 ms
10.0.0.3 : duplicate for [3], 84 bytes, 139 ms
10.0.0.4 : duplicate for [3], 84 bytes, 127 ms
10.0.0.4 : duplicate for [3], 84 bytes, 127 ms
10.0.0.3 : duplicate for [3], 84 bytes, 140 ms
10.0.0.4 : duplicate for [3], 84 bytes, 127 ms
10.0.0.3 : duplicate for [3], 84 bytes, 144 ms
10.0.0.4 : duplicate for [3], 84 bytes, 133 ms
10.0.0.4 : duplicate for [3], 84 bytes, 133 ms
